838,长春工业大学人文信息学院（民办）
839,吉林化工学院
840,吉林农业大学
842,吉林工程技术师范学院
845,惠州学院
846,北华大学
851,吉林师范大学
852,白城师范学院
853,肇庆学院
854,吉林农业科技学院
857,喀什大学
858,吉林华桥外国语学院（民办）
861,青岛黄海学院（民办）
865,湖北医药学院
867,武昌理工学院（民办）
868,湖北民族学院
872,牡丹江医学院
873,黑龙江工业学院
874,黑龙江八一农垦大学
876,黑河学院
878,哈尔滨医科大学
879,黑龙江中医药大学
881,黑龙江工程学院
882,佳木斯大学
884,大庆师范学院
887,四川外国语大学
889,齐齐哈尔工程学院（民办）
892,绥化学院
899,重庆工商大学融智学院（民办）
903,上海第二工业大学
917,南京特殊教育师范学院
924,重庆工商大学派斯学院（民办）
926,海口经济学院（民办）
927,海南师范大学
936,江西科技学院（民办）
938,沈阳大学
940,榆林学院
945,西安外事学院（民办）
947,延安大学
948,西安欧亚学院（民办）
949,西京学院（民办）
950,西安培华学院（民办）
951,西安翻译学院（民办）
952,宝鸡文理学院
953,渭南师范学院
955,甘肃农业大学
957,甘肃政法学院
958,西北师范大学
962,青海民族大学
966,潍坊学院
968,浙江科技学院
969,宁波工程学院
973,宁夏理工学院（民办）
976,海南热带海洋学院
989,五邑大学
992,昆明学院
993,重庆科技学院
998,广东石油化工学院
999,重庆理工大学
A01,黑龙江财经学院（民办）
A02,上海杉达学院（民办）
A05,天津外国语大学滨海外事学院（民办）
A06,赣南师范大学
A09,北京吉利学院（民办）
A10,河北工程大学
A11,长春理工大学光电信息学院（民办）
A12,哈尔滨学院
A14,怀化学院
A15,河北建筑工程学院
A17,唐山师范学院
A18,山西大同大学
A22,青岛恒星科技学院（民办）
A23,昆明医科大学海源学院（民办）
A30,成都理工大学工程技术学院（民办）
A32,长春中医药大学
A33,云南大学旅游文化学院（民办）
A35,长春财经学院（民办）
A37,长春光华学院（民办）
A38,武汉工商学院（民办）
A39,天津医科大学临床医学院（民办）
A40,东北师范大学人文学院（民办）
A41,浙江农林大学
A42,南开大学滨海学院（民办）
A46,兰州交通大学博文学院（民办）
A47,哈尔滨远东理工学院（民办）
A49,台州学院
A50,湘南学院
A53,大连理工大学城市学院（民办）
A58,闽江学院
A59,上海商学院
A60,武汉工程科技学院（民办）
A61,滨州医学院
A66,黑龙江工商学院（民办）
A67,江西中医药大学科技学院（民办）
A70,东华理工大学长江学院（民办）
A73,湖南涉外经济学院（民办）
A74,山东中医药大学
A75,青岛农业大学
A76,泰山学院
A77,山东财经大学
A78,河南科技学院
A80,衡阳师范学院
A81,海南医学院
A83,鲁东大学
A89,菏泽学院
A92,洛阳师范学院
A93,河南理工大学
A95,河南财经政法大学
A98,厦门大学嘉庚学院（民办）
B00,中南林业科技大学
B10,湖南人文科技学院
B12,桂林电子科技大学
B20,重庆三峡学院
B21,安顺学院
B24,云南财经大学
B25,西安工业大学
B28,长治学院
B29,西安工程大学
B31,广西师范学院
B32,宁夏师范学院
B33,红河学院
B35,吕梁学院
B36,齐鲁医药学院（民办）
B38,浙江万里学院
B39,安徽科技学院
B40,黄淮学院
B42,齐齐哈尔医学院
B46,湖北经济学院
B48,防灾科技学院
B55,攀枝花学院
B67,玉林师范学院
B68,云南农业大学
B71,遵义师范学院
B72,嘉兴学院
B76,贵州师范大学
B77,长春大学旅游学院（民办）
B78,云南师范大学文理学院（民办）
B85,哈尔滨广厦学院（民办）
B88,安阳工学院
B89,南华大学船山学院（民办）
B91,湖南文理学院芙蓉学院（民办）
B92,安徽建筑大学
B94,曲阜师范大学
B96,南阳理工学院
B98,华北电力大学科技学院（民办）
B99,太原理工大学现代科技学院（民办）
C00,大连财经学院（民办）
C03,重庆师范大学涉外商贸学院（民办）
C04,宁夏大学新华学院（民办）
C05,中国矿业大学徐海学院（民办）
C07,湖北大学知行学院（民办）
C12,哈尔滨石油学院（民办）
C16,长江大学文理学院（民办）
C20,吉林大学珠海学院（民办）
C21,北京理工大学珠海学院（民办）
C22,首都师范大学科德学院（民办）
C23,北京工商大学嘉华学院（民办）
C26,中国传媒大学南广学院（民办）
C27,郑州师范学院
C28,兰州文理学院
C55,河北外国语学院（民办）
C83,银川能源学院（民办）
C85,山西工商学院（民办）
C88,沈阳城市学院（民办）
C90,武汉工程大学邮电与信息工程学院（民办）
C94,山东协和学院（民办）
D03,湖北工程学院新技术学院（民办）
D05,石家庄铁道大学四方学院（民办）
D07,南昌航空大学
D19,武汉传媒学院（民办）
D20,北京邮电大学世纪学院（民办）
D21,华东交通大学理工学院（民办）
D22,沈阳工学院（民办）
D24,中北大学信息商务学院（民办）
D28,辽宁中医药大学杏林学院（民办）
D29,昆明理工大学津桥学院（民办）
D30,大连东软信息学院（民办）
D32,武汉学院（民办）
D34,广州大学松田学院（民办）
D35,四川工商学院（民办）
D36,西安建筑科技大学华清学院（民办）
D37,西安工业大学北方信息工程学院（民办）
D41,江汉大学文理学院（民办）
D51,武昌工学院（民办）
D52,琼台师范学院
D56,云南警官学院
D57,山东华宇工学院（民办）
D58,三亚学院（民办）
D68,中国地质大学长城学院（民办）
D69,燕京理工学院（民办）
D70,天津理工大学中环信息学院（民办）
D71,北京科技大学天津学院（民办）
D72,北京中医药大学东方学院（民办）
D73,中国计量大学现代科技学院（民办）
D74,北京工业大学耿丹学院（民办）
D81,哈尔滨剑桥学院（民办）
D84,山东财经大学燕山学院（民办）
D86,中国石油大学胜利学院（民办）
D88,辽宁传媒学院（民办）
D93,山东财经大学东方学院（民办）
D94,商丘学院（民办）
D98,河北医科大学临床学院（民办）
E01,新乡医学院三全学院（民办）
E03,大连工业大学艺术与信息工程学院（民办）
E05,兰州财经大学长青学院（民办）
E11,郑州成功财经学院（民办）
E13,贺州学院
E14,天津大学仁爱学院（民办）
E17,辽宁何氏医学院（民办）
E22,吉林师范大学博达学院（民办）
E23,武汉体育学院
E25,金陵科技学院
E27,桂林电子科技大学信息科技学院（民办）
E29,广东工业大学华立学院（民办）
E47,泉州师范学院
E48,青岛工学院（民办）
E55,西南财经大学天府学院（民办）
E56,四川大学锦江学院（民办）
E63,山东政法学院
E64,太原工业学院
E83,盐城工学院
E84,上海外国语大学贤达经济人文学院（民办）
E85,中国矿业大学银川学院（民办）
E86,武夷学院
E87,内蒙古师范大学鸿德学院（民办）
E89,内蒙古大学创业学院（民办）
E97,山西大学商务学院（民办）
F08,上海建桥学院（民办）
F28,大连医科大学中山学院（民办）
F29,辽宁师范大学海华学院（民办）
F30,湖北医药学院药护学院（民办）
F31,湖北民族学院科技学院（民办）
F35,河北大学工商学院（民办）
F37,集美大学诚毅学院（民办）
F38,信阳学院（民办）
F39,兰州财经大学陇桥学院（民办）
F41,沈阳科技学院（民办）
F42,广西师范大学漓江学院（民办）
F65,青岛农业大学海都学院（民办）
F66,齐鲁理工学院（民办）
F74,湖北第二师范学院
F89,北京第二外国语学院中瑞酒店管理学院（民办）
F99,北京交通大学海滨学院（民办）
G07,江苏师范大学
G09,福建医科大学
G10,济宁医学院
G11,济宁学院
G12,武汉纺织大学
G13,湖北文理学院
G15,天水师范学院
G16,长沙医学院（民办）
G20,三明学院
G23,安康学院
G24,河南工程学院
G27,武昌首义学院（民办）
G42,宁波大红鹰学院（民办）
G45,湖北文理学院理工学院（民办）
G48,湖州师范学院求真学院（民办）
G51,云南艺术学院文华学院（民办）
G53,河北科技大学理工学院（民办）
G54,江西农业大学南昌商学院（民办）
G55,福州大学至诚学院（民办）
G56,安阳学院（民办）
G58,广西师范学院师园学院（民办）
G59,南京航空航天大学金城学院（民办）
G61,西安交通大学城市学院（民办）
G98,河北东方学院（民办）
H15,辽宁财贸学院（民办）
H18,成都东软学院（民办）
H31,福建师范大学闽南科技学院（民办）
H40,厦门工学院（民办）
H41,武汉晴川学院（民办）
H47,郑州工商学院（民办）
H48,兰州理工大学技术工程学院（民办）
H49,山西农业大学信息学院（民办）
H51,无锡太湖学院（民办）
H52,山东科技大学泰山科技学院（民办）
H53,广西科技大学鹿山学院（民办）
H54,桂林理工大学博文管理学院（民办）
H57,福州外语外贸学院（民办）
H58,福建江夏学院
H96,上海财经大学浙江学院（民办）
H97,贵州师范学院
J05,西南交通大学希望学院（民办）
J21,北京电影学院现代创意媒体学院（民办）
J24,河北环境工程学院
J26,丽水学院
J36,郑州航空工业管理学院
J47,陕西学前师范学院
J49,合肥学院
J52,甘肃民族师范学院
J53,安阳师范学院
J55,四川工业科技学院（民办）
J56,同济大学浙江学院（民办）
J65,长江大学工程技术学院（民办）
J81,江苏理工学院
K00,山西传媒学院
K01,营口理工学院
K02,贵州理工学院
K05,安徽医科大学
K11,河南师范大学
K19,淮阴工学院
K28,四川外国语大学重庆南方翻译学院（民办）
K30,南京理工大学泰州科技学院（民办）
K40,河北中医学院
K41,山东管理学院
K42,张家口学院
K56,西南医科大学
K60,南通理工学院（民办）
K62,华南理工大学广州学院（民办）
K67,四川外国语大学成都学院（民办）
K68,成都医学院
K74,扬州大学广陵学院（民办）
K89,山西工程技术学院
K92,鄂尔多斯应用技术学院
L05,内蒙古工业大学
