053,56,工商管理类(中外合作办学),第1次填报,490,477,9733,4
053,57,工商管理类(中外合作办学),第1次填报,490,469,10790,6
053,58,工商管理类(中外合作办学),第1次填报,500,481,9194,6
056,10,国际商务,第1次填报,489,489,8249,1
056,11,财政学,第1次填报,520,520,4941,1
056,29,市场营销,第1次填报,509,504,6599,2
056,31,会计学,第1次填报,535,535,3582,1
056,33,审计学,第1次填报,509,509,6056,1
056,36,人力资源管理,第1次填报,498,498,7199,1
056,37,行政管理,第1次填报,503,503,6699,1
056,38,国民经济管理,第1次填报,498,498,7199,1
056,41,广告学,第1次填报,504,504,6599,1
056,42,新闻学,第1次填报,499,499,7092,1
056,45,文化产业管理,第1次填报,502,502,6783,1
056,47,酒店管理,第1次填报,505,505,6488,1
056,51,人文地理与城乡规划,第1次填报,491,491,8006,1
058,02,金融学,第1次填报,521,507,6271,2
058,03,法学,第1次填报,550,523,4648,3
058,05,社会工作,第1次填报,511,507,6271,3
058,0E,会计学,第1次填报,513,507,6271,3
058,0G,人力资源管理,第1次填报,516,504,6599,3
059,03,政治学与行政学,第1次填报,493,493,7746,1
059,05,汉语言文学,第1次填报,513,513,5648,2
059,06,新闻学,第1次填报,513,497,7309,2
059,09,财务管理,第1次填报,518,518,5160,1
059,0A,人力资源管理,第1次填报,521,502,6783,3
059,0D,行政管理(企事业行政文化建设方向),第1次填报,506,500,6984,3
059,0F,酒店管理,第1次填报,493,493,7746,1
063,7C,政治学、经济学与哲学,第1次填报,505,500,6984,2
063,7D,思想政治教育（师范类）,第1次填报,513,479,9452,3
063,7Y,教育学类（师范类）,第1次填报,503,503,6699,3
063,8N,中国语言文学类,第1次填报,525,512,5767,3
063,BH,旅游管理,第1次填报,477,467,11059,3
065,55,工商管理,第1次填报,511,504,6599,2
065,56,国际经济与贸易,第1次填报,510,504,6599,2
065,58,市场营销,第1次填报,500,495,7522,2
065,76,公共管理类,第1次填报,516,496,7412,7
068,26,财务管理,第1次填报,484,474,10153,5
075,34,汉语言文学,第1次填报,484,449,13471,5
079,23,旅游管理,第1次填报,484,474,10153,2
079,77,茶学(茶文化与贸易方向),第1次填报,488,483,8949,2
085,22,档案学,第1次填报,460,455,12663,2
085,28,地理科学（师范类）,第1次填报,472,467,11059,2
086,01,工商管理,第1次填报,526,526,4363,1
086,05,法学,第1次填报,530,530,4019,1
086,06,会计学,第1次填报,532,532,3849,1
086,37,会展经济与管理,第1次填报,509,509,6056,1
089,11,汉语言文学,第1次填报,490,485,8715,2
089,31,历史学,第1次填报,469,469,10790,1
089,41,英语,第1次填报,485,485,8715,1
089,92,人文地理与城乡规划,第1次填报,459,459,12148,1
089,A3,学前教育（师范类）,第1次填报,468,468,10925,1
089,A4,特殊教育（师范类）,第1次填报,476,476,9881,1
089,C1,人力资源管理,第1次填报,473,473,10261,1
090,02,新闻学,第1次填报,432,413,18490,6
090,0B,人力资源管理,第1次填报,417,412,18637,5
090,0D,物流管理,第1次填报,419,418,17774,2
090,0J,新能源科学与工程,第1次填报,411,411,18766,1
091,11,外国语言文学类,第1次填报,461,449,13471,4
091,12,教育学类,第1次填报,465,458,12258,4
094,0E,小学教育（师范类）,第1次填报,483,456,12520,10
100,66,市场营销,第1次填报,497,493,7746,3
100,73,工程管理,第1次填报,505,494,7632,2
100,75,社会工作,第1次填报,493,468,10925,4
101,0R,法学,第1次填报,500,500,6984,1
101,0Z,经济学,第1次填报,489,489,8249,1
103,47,物流管理,第1次填报,470,455,12663,2
104,01,经济学,第1次填报,507,507,6271,1
104,02,金融学,第1次填报,507,507,6271,1
104,03,国际经济与贸易,第1次填报,499,499,7092,1
104,04,法学类,第1次填报,509,503,6699,4
104,06,社会工作,第1次填报,505,498,7199,3
109,07,历史学（师范类）,第1次填报,526,524,4561,2
110,1S,思想政治教育,第1次填报,473,468,10925,5
112,55,历史学（师范类）,第1次填报,473,466,11198,4
112,5L,教育学类（师范类）,第1次填报,466,463,11624,4
116,08,市场营销,第1次填报,472,472,10391,1
116,09,人力资源管理,第1次填报,486,486,8600,1
116,10,国际经济与贸易,第1次填报,478,478,9597,1
116,11,物流管理,第1次填报,476,476,9881,1
116,12,经济学,第1次填报,481,481,9194,1
116,13,电子商务,第1次填报,475,475,10019,1
116,22,工商管理类,第1次填报,483,483,8949,1
116,23,英语,第1次填报,486,486,8600,1
116,29,社会工作,第1次填报,456,456,12520,1
116,30,秘书学,第1次填报,480,480,9317,1
118,18,旅游管理,第1次填报,480,477,9733,2
124,20,工商管理,第1次填报,445,405,19649,4
124,30,英语,第1次填报,449,429,16229,3
124,37,康复治疗学,第1次填报,447,436,15283,3
125,28,工程造价,第1次填报,408,402,20113,2
125,39,财务管理,第1次填报,428,408,19224,3
125,41,市场营销,第1次填报,402,401,20272,2
127,0K,汉语言文学,第1次填报,517,479,9452,4
127,3B,护理学,第1次填报,496,482,9064,2
132,01,社会工作,第1次填报,509,509,6056,1
132,02,英语,第1次填报,511,511,5862,1
132,03,日语,第1次填报,509,486,8600,2
132,05,会计学,第1次填报,529,529,4092,1
